region,lat_bottom,lat_top,long_left,long_right
Beijing,38.505244,40.605664,114.743495,118.303065
Shanghai,30.230654,32.407849,119.203944,122.258143
Hong Kong,21.912534,23.594257,112.546229,115.051112
